num_empresarial,nombre,apellido,num_documento,cargo,edad
20213,Juan,Peinado,10933451243,Gerente,45
20234,Diana,Perez,10543455678,lider regional,32
20256,Pablo,Sanchez,10982364351,administrador,28
20257,Camila,Rojas,10455678231,lider regional,38
20258,Andres,Martinez,10344566789,lider seccional,34
20259,Laura,Gomez,10233455678,lider seccional,31
20260,Sebastian,Herrera,10122334455,administrador,29
20261,Valentina,Castro,10099887766,administrador,27
20262,Nicolas,Ortega,10911122334,empleado,24
20263,Daniela,Ramirez,10822233445,empleado,26
20264,Julian,Mejia,10733344556,empleado,30
20265,Sofia,Lopez,10644455667,empleado,23
20266,Felipe,Navarro,10555566778,empleado,35
20267,Paula,Silva,10466677889,empleado,29
20268,Cristian,Reyes,10377788990,empleado,33
20269,Mariana,Torres,10288899001,empleado,25
20270,Alejandro,Diaz,10199900112,empleado,36
20271,Carolina,Vargas,10011122334,empleado,28
20272,David,Morales,10987654321,empleado,27
20273,Angela,Suarez,10876543210,empleado,31
20274,Miguel,Fuentes,10765432109,empleado,26
20275,Catalina,Jimenez,10654321098,empleado,24
20276,Jorge,Acosta,10543210987,empleado,37
